station,name,longitude,latitude,location,rating
1 Slough Train Station,Krispy Kreme,-0.59156182,51.51135,"Tesco Extra Brunel Way (Wellington St), Slough, Berkshire, SL1 1XW",7.1
1 Slough Train Station,The Soul Deli,-0.59156182,51.51135,"The Porter Building, Brunel Way, Slough, Berkshire",0.0
1 Slough Train Station,The Cafe,-0.59156182,51.51135,"A4 Brunel Way, Slough, SL1 1XW",0.0
1 Slough Train Station,KFC,-0.59156182,51.51135,"The Queensmere Centre, Slough, Berkshire, SL1 1DG",5.9
1 Slough Train Station,Greggs,-0.59156182,51.51135,"1 Mackenzie St, Slough, Berkshire, SL1 1XQ",6.4
1 Slough Train Station,Roosters Piri Piri,-0.59156182,51.51135,"88-90 High St, Slough, Berkshire, SL1 1EL",6.8
1 Slough Train Station,PizzaExpress,-0.59156182,51.51135,"80 High St, Slough, SL1 1EL",6.6
1 Slough Train Station,Ali's Fish & Chips,-0.59156182,51.51135,,0.0
1 Slough Train Station,Unofficial M&S Lunch Bench,-0.59156182,51.51135,,0.0
1 Slough Train Station,Jerry's Pizza,-0.59156182,51.51135,"66 High St, Slough, SL1 1EL",0.0
2 Burnham Train Station,Roll With It,-0.6452942,51.523823,"Lower Car Park, Burnham Railway Station",0.0
2 Burnham Train Station,Pizza 4 U,-0.6452942,51.523823,,0.0
2 Burnham Train Station,KFC,-0.6452942,51.523823,"409 Bath Rd, Slough, Berkshire, SL1 5QL",5.9
2 Burnham Train Station,Greggs,-0.6452942,51.523823,"413/413a Bath Rd, Slough, Berkshire, SL1 5QL",6.3
2 Burnham Train Station,Pizza & Kebab Express,-0.6452942,51.523823,"406 Bath Rd, Slough, SL1 6JA",0.0
2 Burnham Train Station,China Kitchen,-0.6452942,51.523823,"405 Bath Rd, Slough, SL1 5QL",0.0
2 Burnham Train Station,Kai's Restaurant,-0.6452942,51.523823,"467 Bath Rd, Colnbrook with Poyle, Berkshire, SL1 6AA",0.0
2 Burnham Train Station,Rocky's Slough,-0.6452942,51.523823,"158 Burnham Lane, Slough, Berkshire, SL1 6LE",0.0
2 Burnham Train Station,Burnham Fish & Chips,-0.6452942,51.523823,"164 Burnham Lane, Colnbrook with Poyle, Berkshire, SL1 6LE",0.0
2 Burnham Train Station,Monihar Tandoori,-0.6452942,51.523823,"168 Burnham Lane (Slough), Burnham, Buckinghamshire, SL1 6LE",0.0
3 Slough Trading Estate,Greggs,-0.62563661,51.516508,"171 Buckingham Ave (171 Buckingham Av), Slough, Berkshire, SL1 4RD",6.9
3 Slough Trading Estate,The king and i,-0.62563661,51.516508,"Bath Rd, Colnbrook with Poyle, Berkshire",0.0
3 Slough Trading Estate,Thyme,-0.62563661,51.516508,"40 Liverpool Rd, Slough, Berkshire, SL1 4QZ",0.0
